Class ID,city,dates,year,month,day,cit,Department/College,Course Level,Course Title,Tour?,TILT?,Date Taught,Session Number,AM/PM,Hour Count,Duplicate?,ACRL,IPED,classes,Building/Room,Distance Class?,Location of Site 1,Site 1 Number of Students,Location of Site 2,Site 2 Number of Students,Location of Site 3,Site 3 Number of Students,Location of Site 4,Site 4 Number of Students,Location of Site 5,Site 5 Number of Students,Location of Site 6,Site 6 Number of Students,Location of Site 7,Site 7 Number of Students,Location of Site 8,Site 8 Number of Students,Location of Site 9,Site 9 Number of Students,Location of Site 10,Site 10 Number of Students
4387,Pocatello,28-Mar-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1101,FALSE,FALSE,28-Mar-16,Single Session,AM,1,FALSE,21,21,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4385,Pocatello,17-Mar-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1101,FALSE,FALSE,17-Mar-16,First Session,AM,1.5,FALSE,8,8,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4386,Pocatello,17-Mar-16,,,,Pocatello,College of Arts and Letters,Lower Division,COMM 1101,FALSE,FALSE,17-Mar-16,Single Session,PM,1.5,FALSE,15,15,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4384,Pocatello,16-Mar-16,,,,Pocatello,College of Arts and Letters,Lower Division,COMM 1101,FALSE,FALSE,16-Mar-16,Single Session,PM,1.5,FALSE,30,30,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4395,Pocatello,15-Mar-16,,,,Pocatello,College of Arts and Letters,Lower Division,COMM 1101,FALSE,FALSE,15-Mar-16,Single Session,PM,1.5,FALSE,15,15,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4404,Pocatello,15-Mar-16,,,,Pocatello,College of Arts and Letters,Upper Division,ENGL 3327,FALSE,FALSE,15-Mar-16,Single Session,PM,1.5,FALSE,12,12,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4421,Pocatello,15-Mar-16,,,,Pocatello,College of Arts and Letters,Lower Division,COMM 1101,FALSE,FALSE,15-Mar-16,Single Session,PM,1.5,TRUE,15,15,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4403,Pocatello,14-Mar-16,,,,Pocatello,College of Arts and Letters,Upper Division,ENGL 3311,FALSE,FALSE,14-Mar-16,Single Session,PM,1,FALSE,3,3,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4396,Pocatello,12-Mar-16,,,,Pocatello,College of Arts and Letters,Lower Division,COMM 1101,FALSE,FALSE,12-Mar-16,Single Session,PM,1,FALSE,20,20,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4397,Pocatello,12-Mar-16,,,,Pocatello,College of Arts and Letters,Lower Division,COMM 1101,FALSE,FALSE,12-Mar-16,Single Session,PM,1.5,FALSE,6,6,Pocatello,LIBR 266,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4400,Pocatello,11-Mar-16,,,,Pocatello,College of Arts and Letters,Lower Division,HONS 1102,FALSE,FALSE,11-Mar-16,Single Session,AM,1,FALSE,13,13,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4401,Pocatello,11-Mar-16,,,,Pocatello,College of Arts and Letters,Upper Division,ENGL4491,FALSE,FALSE,11-Mar-16,Single Session,AM,1,FALSE,8,8,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4402,Pocatello,11-Mar-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,11-Mar-16,Third Session,PM,1,FALSE,0,21,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4398,Pocatello,10-Mar-16,,,,Pocatello,College of Arts and Letters,Lower Division,COMM 1101,FALSE,FALSE,10-Mar-16,Single Session,PM,1.5,FALSE,29,29,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4399,Pocatello,10-Mar-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,10-Mar-16,Single Session,PM,1.5,FALSE,18,18,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4381,Idaho Falls,09-Mar-16,,,,Idaho Falls,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,09-Mar-16,Single Session,PM,1.5,FALSE,21,21,Idaho Falls,CHE 306,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4382,Pocatello,09-Mar-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,09-Mar-16,Second Session,PM,1,FALSE,0,21,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4379,Pocatello,08-Mar-16,,,,Pocatello,College of Education,Graduate,PE 4494/5594,FALSE,FALSE,08-Mar-16,Single Session,AM,1.5,FALSE,15,15,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4380,Pocatello,08-Mar-16,,,,Pocatello,College of Arts and Letters,Graduate,CMLT5515/ENGL559,FALSE,FALSE,08-Mar-16,Single Session,PM,1.5,FALSE,8,8,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4426,Pocatello,08-Mar-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,08-Mar-16,First Session,PM,1.5,FALSE,24,24,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4378,Pocatello,07-Mar-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,07-Mar-16,First Session,PM,1,FALSE,20,20,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4376,Pocatello,04-Mar-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,04-Mar-16,Single Session,AM,1,FALSE,25,25,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4377,Pocatello,04-Mar-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,04-Mar-16,Single Session,PM,1,FALSE,26,26,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4374,Pocatello,03-Mar-16,,,,Pocatello,College of Technology,Lower Division,START,TRUE,FALSE,03-Mar-16,Single Session,AM,1.5,FALSE,50,50,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4375,Pocatello,03-Mar-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,03-Mar-16,Second Session,PM,1.5,FALSE,0,15,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4369,Idaho Falls,01-Mar-16,,,,Idaho Falls,College of Arts and Letters,Lower Division,COMM 1101,FALSE,FALSE,01-Mar-16,Single Session,AM,1.5,FALSE,17,17,Idaho Falls,CHE 307,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4370,Idaho Falls,01-Mar-16,,,,Idaho Falls,College of Arts and Letters,Lower Division,COMM 1101,FALSE,FALSE,01-Mar-16,Single Session,PM,1.5,FALSE,25,25,Idaho Falls,CHE 307,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4371,Pocatello,01-Mar-16,,,,Pocatello,College of Arts and Letters,Lower Division,PE 2223,FALSE,FALSE,01-Mar-16,Single Session,PM,1.5,FALSE,27,27,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4372,Pocatello,01-Mar-16,,,,Pocatello,College of Arts and Letters,Lower Division,ENGL 1102,FALSE,FALSE,01-Mar-16,First Session,PM,1.5,FALSE,12,12,Pocatello,LIBR 212,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
4365,Idaho Falls,29-Feb-16,,,,Idaho Falls,College of Arts and Letters,Lower Division,COMM 1101,FALSE,FALSE,29-Feb-16,Single Session,AM,1.5,FALSE,25,25,Idaho Falls,CHE 307,FALSE,Boise,0,Idaho Falls,0,Twin Falls,0,,0,,0,,0,,0,,0,,0,,0
