C:\Users_Data\porat\Efrat\2017_Feb_11 Xp_Pv mid log colony starter 17_1_2017\17starter  Xp+ 1_5hr Syber CM-EDF_11_26 Oct.daf
focused & single

Object Number	Length_Component(1, Area, Object(M01, BF, Tight), Descending)
383	8
384	10
385	7.66666666666667
386	11.6666666666667
387	8.33333333333333
388	12
389	12
390	8.66666666666667
391	21.6666666666667
392	11
393	18.3333333333333
394	13.3333333333333
395	9.66666666666667
396	13.3333333333333
397	8.33333333333333
399	14.6666666666667
400	7.66666666666667
401	3.66666666666667
402	16
403	12
404	10.6666666666667
405	9.66666666666667
406	15.3333333333333
407	9
408	8
409	20
411	11
412	12.3333333333333
413	12
414	9
415	7.66666666666667
416	14
417	16.6666666666667
418	17.6666666666667
419	12.3333333333333
420	8
421	8.66666666666667
422	3
423	8
424	10.6666666666667
425	18.3333333333333
426	11
428	10.6666666666667
429	10
430	15
431	18.6666666666667
432	4.33333333333333
433	4
434	14
435	7.66666666666667
436	8.66666666666667
437	10.6666666666667
438	13.3333333333333
439	12
440	7.33333333333333
441	22.6666666666667
442	16
443	10.6666666666667
444	12.6666666666667
445	3.33333333333333
448	12
449	18.3333333333333
451	6.33333333333333
452	11.6666666666667
453	8.66666666666667
454	9.33333333333333
455	17.6666666666667
456	7
457	11
458	16.6666666666667
460	16.3333333333333
461	25.3333333333333
462	15.3333333333333
463	8.33333333333333
464	14.6666666666667
465	9.66666666666667
466	15
467	10
468	9.66666666666667
469	11
470	16.6666666666667
471	15.6666666666667
472	13.3333333333333
473	15
475	17
476	4.33333333333333
477	5.66666666666667
478	19.3333333333333
479	26.3333333333333
480	13.3333333333333
481	15.6666666666667
482	12
483	16.3333333333333
484	14.6666666666667
485	10.6666666666667
486	9.66666666666667
487	15.3333333333333
488	13
489	10.3333333333333
490	3
492	11.3333333333333
493	21.6666666666667
495	11.3333333333333
496	14
497	8.33333333333333
498	13
499	11.6666666666667
500	10
502	11.6666666666667
503	19.3333333333333
504	10.3333333333333
505	22.6666666666667
507	10.3333333333333
508	17.6666666666667
509	3.33333333333333
510	16.6666666666667
511	24.3333333333333
512	2.66666666666667
514	10.3333333333333
515	53
516	11.3333333333333
517	17
519	11
521	21
523	8.33333333333333
524	7.33333333333333
526	14
527	21
528	10
529	12
530	11.3333333333333
531	11.3333333333333
532	4.33333333333333
533	14.3333333333333
535	9.66666666666667
536	9
537	10.6666666666667
538	10.3333333333333
539	19.6666666666667
540	9.33333333333333
541	16.3333333333333
542	10.3333333333333
543	18.6666666666667
544	24.6666666666667
548	12.6666666666667
549	10
551	10.6666666666667
552	11.3333333333333
553	9.66666666666667
555	28.3333333333333
556	11
557	10.6666666666667
558	14.3333333333333
559	9.33333333333333
561	7
562	25.6666666666667
563	19.6666666666667
565	12.6666666666667
566	13
567	14.3333333333333
569	21.3333333333333
570	4
572	4.66666666666667
573	13.6666666666667
574	9.33333333333333
575	9.33333333333333
576	8
577	14.3333333333333
578	5.33333333333333
579	14.6666666666667
580	14
581	11.3333333333333
584	8.66666666666667
585	13.3333333333333
587	15.3333333333333
589	17.6666666666667
590	10.3333333333333
591	11.6666666666667
592	7.33333333333333
594	9
596	15
597	4.66666666666667
599	11.3333333333333
600	10
601	14
602	14.3333333333333
603	18
605	13.3333333333333
606	12.6666666666667
607	14
608	16.6666666666667
609	11
610	21.6666666666667
611	12.3333333333333
612	14
613	10
614	16
615	13.6666666666667
616	12
617	11.3333333333333
618	12.3333333333333
619	3.33333333333333
622	13.3333333333333
623	13.6666666666667
625	15.6666666666667
626	13
630	14
631	8.33333333333333
632	18
633	21.3333333333333
634	15.3333333333333
635	9
636	7
637	16.6666666666667
639	44.3333333333333
640	7
642	3.33333333333333
643	15
644	14.3333333333333
645	11.3333333333333
646	4.66666666666667
647	9
648	16.3333333333333
649	11
650	16.6666666666667
651	15
652	11.6666666666667
655	13.3333333333333
656	3.66666666666667
657	3.66666666666667
658	11.3333333333333
659	18
660	11
661	10.3333333333333
662	9.66666666666667
663	10.3333333333333
664	9.66666666666667
665	11.6666666666667
666	7
