C:\Users_Data\porat\Efrat\2017_Feb_11 Xp_Pv mid log colony starter 17_1_2017\17starter  C 1_5hr Syber CM-EDF_12_26 Oct.daf
focused & single

Object Number	Length_Component(1, Area, Object(M01, BF, Tight), Descending)
200	14.6666666666667
202	2.33333333333333
204	10.6666666666667
206	9.66666666666667
207	18
208	10.3333333333333
209	8.66666666666667
210	13.6666666666667
212	20.3333333333333
214	22
215	9
216	5.66666666666667
217	20
219	4
220	25.3333333333333
221	9
222	17.3333333333333
224	19
225	10.6666666666667
226	13
227	10.3333333333333
228	9
229	19
231	9.33333333333333
233	12.3333333333333
235	21.3333333333333
236	10
237	16
238	13
239	11.3333333333333
240	18.3333333333333
242	18.3333333333333
243	10.6666666666667
244	11.3333333333333
245	12.6666666666667
246	3
247	3.33333333333333
248	9
249	12
250	12.3333333333333
251	18
252	13.3333333333333
253	24
254	2.66666666666667
255	13.6666666666667
256	31.3333333333333
258	7
259	13.3333333333333
260	16.6666666666667
261	18.3333333333333
262	5.66666666666667
263	16
264	12.3333333333333
265	4.33333333333333
266	12.3333333333333
267	23
268	10.3333333333333
269	5
272	15.6666666666667
273	14.3333333333333
274	18.3333333333333
275	45.6666666666667
276	10.6666666666667
277	9.66666666666667
278	16
280	11.6666666666667
281	11.6666666666667
282	7.66666666666667
283	13
284	11.6666666666667
285	21
286	10
287	10.6666666666667
288	8.66666666666667
289	7.33333333333333
290	17.6666666666667
291	12.6666666666667
292	9.33333333333333
293	15.3333333333333
294	9.66666666666667
295	8.33333333333333
296	7.33333333333333
298	13.6666666666667
301	15.3333333333333
302	2.66666666666667
303	17
304	10.3333333333333
305	12.3333333333333
306	14
307	14.6666666666667
308	12.6666666666667
309	13.6666666666667
310	7.33333333333333
311	13
312	13
313	14.3333333333333
315	14.3333333333333
316	9.66666666666667
318	21.6666666666667
319	8.66666666666667
320	18.3333333333333
321	15
322	22.6666666666667
323	28.3333333333333
324	8
325	12.6666666666667
326	3.33333333333333
327	19.3333333333333
328	4.66666666666667
329	17.3333333333333
331	9
332	6.66666666666667
333	11.6666666666667
334	11
335	13.3333333333333
336	9.33333333333333
337	9
338	15
339	8.33333333333333
340	11
341	13
342	9.66666666666667
343	3.33333333333333
344	14.6666666666667
345	22
346	10
349	3
350	7.33333333333333
