var1,var2,r,pvalue,rsq
driving habites E,DHGO 311,-0.823514622,0.000294831,0.678176333
driving habites E,QL22,-0.814900301,0.000215029,0.6640625
driving habites F,driving habites G,0.938647891,6.74E-07,0.881059863
driving habites F,DHBS 420,0.823735365,0.000537086,0.678539952
driving habites F,DHGO 311,-0.76511881,0.00230779,0.585406793
driving habites G,driving habites F,0.938647891,6.74E-07,0.881059863
driving habites G,DHBS 420,0.803219329,0.000540569,0.64516129
driving habites G,DHGO 311,-0.736788398,0.002647972,0.542857143
driving habites H,QL14,-0.827837354,0.000138793,0.685314685
driving habites H,bigc23,0.707805158,0.003154416,0.500988142
driving habites H,bigc23r,-0.707805158,0.003154416,0.500988142
driving habites I,MYDH 3,0.87291115,4.60E-05,0.761973875
driving habites I,DHBS 415,0.823815705,0.000535829,0.678672316
driving habites I,biga7,-0.794871795,0.000680272,0.63182117
driving habites I,BACK20,0.746611594,0.002157544,0.557428872
driving habites I,bige36,-0.738648819,0.002548923,0.545602077
driving habites J,MYDH 3,0.873270593,2.13E-05,0.762601529
driving habites J,DHBS 415,0.820767734,0.000321419,0.673659674
driving habites J,biga7,-0.785714286,0.000516455,0.617346939
driving habites J,bige36,-0.731925055,0.001921982,0.535714286
IDENTIFICATION,anosmia,0.743181873,0.00149843,0.552319296
MOCA ABSTRACTION,bige41r,0.825722824,0.00027477,0.681818182
MOCA ABSTRACTION,bige41,-0.825722824,0.00027477,0.681818182
MOCA ATTENTION LETTERS,driving habites A,-0.884823497,2.62E-05,0.782912621
MOCA ATTENTION MATH,MYDH 3,-0.892285049,1.78E-05,0.796172608
MOCA ATTENTION MATH,DHBS 415,-0.843274043,0.000292865,0.711111111
MOCA ATTENTION MATH,biga7,0.800640769,0.000580998,0.641025641
MOCA ATTENTION MATH,bige36,0.738648819,0.002548923,0.545602077
MOCA ATTENTION NUMBERS,sleep9,-0.746611594,0.002157544,0.557428872
MOCA ATTENTION NUMBERS,MOCA NAMING,0.746611594,0.002157544,0.557428872
MOCA LENG FLUENCY,sleep3,-0.858778202,8.39E-05,0.7375
MOCA LTM,bige26,-0.796029752,0.000659329,0.633663366
MOCA LTM,moca tota,0.772270557,0.001208051,0.596401814
MOCA NAMING,BACK10,-0.746611594,0.002157544,0.557428872
MOCA NAMING,MOCA ATTENTION NUMBERS,0.746611594,0.002157544,0.557428872
MOCA NAMING,moca tota,0.717795396,0.003843365,0.51523023
MOCA STM SENTENCE,QL3,0.708180139,0.004591491,0.501519109
moca tota,QL10,0.870552645,2.42E-05,0.757861908
moca tota,BACK1,-0.870552645,2.42E-05,0.757861908
moca tota,BACK18,-0.870552645,2.42E-05,0.757861908
moca tota,MOCA LTM,0.772270557,0.001208051,0.596401814
moca tota,MOCA NAMING,0.717795396,0.003843365,0.51523023
MOCA VISUAL PERCEPTION,QL1,-0.756502887,0.001739346,0.572296619
MOCA VISUAL PERCEPTION,driving habites B,-0.75614577,0.001753226,0.571756425
MOCA VISUAL PERCEPTION,driving habites D,-0.754074791,0.001835462,0.56862879
MOCA VISUAL PERCEPTION,BACK11,-0.752854667,0.001885326,0.56679015
MOCA VISUAL PERCEPTION,driving habites C,-0.752854667,0.001885326,0.56679015
MOCA VISUAL PERCEPTION,QL TOT,-0.723322093,0.003458909,0.52319485
MYDH 1,MYDH 2,0.854169615,5.04E-05,0.729605731
MYDH 1,DHBS 417,0.801306899,0.000570329,0.642092747
MYDH 1,DHBS 404,0.7781715,0.001046381,0.605550883
MYDH 1,DHBS 411,0.738718217,0.002545286,0.545704604
MYDH 10,QL21,-0.745140823,0.001433095,0.555234846
MYDH 10,anxiety2,-0.735651983,0.001772289,0.54118384
MYDH 10,BACK2,0.707596977,0.003167278,0.500693481
MYDH 10,N215,-0.707596977,0.003167278,0.500693481
MYDH 2,MYDH 1,0.854169615,5.04E-05,0.729605731
MYDH 3,MOCA ATTENTION MATH,-0.892285049,1.78E-05,0.796172608
MYDH 3,driving habites J,0.873270593,2.13E-05,0.762601529
MYDH 3,driving habites I,0.87291115,4.60E-05,0.761973875
MYDH 3,QL8,-0.714146073,0.002782167,0.510004613
MYDH 4,bigc8,0.745601135,0.001418081,0.555921053
MYDH 4,bigc8r,-0.745601135,0.001418081,0.555921053
MYDH 6,N220,0.767771896,0.001344197,0.589473684
MYDH 6,DHGO 320,0.767771896,0.001344197,0.589473684
MYDH 6,DHBS 428,0.739509973,0.002504078,0.546875
MYDH 8,N227,-0.825268649,0.000278803,0.681068342
MYDH 8,anxiety4,-0.723364233,0.002304466,0.523255814
MYDH 8,anxiety4r,0.723364233,0.002304466,0.523255814
MYDH 8,biga17,0.712258657,0.002889087,0.507312395
MYDH 9,QL19,0.715096942,0.002729513,0.511363636
N204,DHGB126,0.925668144,2.07E-06,0.856861513
N204,DHBS 425,0.891472868,1.86E-05,0.794723875
N204,N220,0.801620146,0.000565366,0.642594859
N204,DHGO 320,0.801620146,0.000565366,0.642594859
